"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Methane emissions (% change from 1990)","EN.ATM.METH.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.03732012018345","4.75198987928944","7.96808286331769","11.2013072584471","13.9660534500026","11.7758684307627","41.7841705761425","14.3047282694639","15.6673343524327","18.9407516736071","21.3477149333193","24.5381108006958","27.2916556849929","30.4820515523694","32.9832375731379","36.2335933793685","39.9939381160719","43.2693321385272","46.5803067840388","49.838569395393","51.3369550893469","52.8353407833008","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Methane emissions (% change from 1990)","EN.ATM.METH.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Methane emissions (% change from 1990)","EN.ATM.METH.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.976718697149037","-3.17335249187816","-2.00181446802262","0.515891016547854","3.3858707479961","12.901864025025","20.7932266852658","27.172314154686","35.1136271268214","23.029584743785","13.6205716623097","30.1779856782885","35.6996583451108","37.9389006736081","40.263360069642","42.5078465253724","44.8650817166126","47.1554542856319","50.7332600903563","76.9014549831008","78.6704695329318","80.4394840827628","","","","","","","","","","",
"Africa Western and Central","AFW","Methane emissions (% change from 1990)","EN.ATM.METH.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Methane emissions (% change from 1990)","EN.ATM.METH.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-13.0982390598647","28.2507571498522","-20.4425926261765","-10.1847989699135","-2.88306341923433","-5.22977457790029","-31.6706262127999","-27.0642534593134","-27.041584302062","-28.5545238570211","-29.7396673981248","-28.842422154114","-29.3184744563936","-28.3246586024918","-25.8328648374168","-24.7216227489527","-24.9605556663826","-21.5982662628534","-18.4005549409695","-15.659853829274","-14.8164523675668","-13.9730509058595","","","","","","","","","","",
"Albania","ALB","Methane emissions (% change from 1990)","EN.ATM.METH.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.86856487734399","-10.9145805195213","-7.95301064798819","9.30521091811414","8.70724314476867","2.80530514809811","-3.47473065929579","-6.88938970380376","-7.46340735622075","2.42799258724127","-7.92042277852812","-8.3919653233659","-2.896394132613","-3.02085623645444","-2.74484090837704","-2.42171058830919","-1.61839997487201","-1.19083142255866","-2.81747652102901","1.78290982190532","2.80073892012438","3.81856801834344","","","","","","","","","","",
"Andorra","AND","Methane emissions (% change from 1990)","EN.ATM.METH.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Methane emissions (% change from 1990)","EN.ATM.METH.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.58435374596372","3.12376338265594","5.7009777143652","8.98652809345917","13.3302532691478","16.5537144093885","21.7086054089772","24.3219389077586","29.3990757951727","34.9315309799541","34.7106338462038","37.8157596255553","43.7368702849451","48.2129183822269","55.3913596235148","65.9071854603088","82.7206121359565","78.5516858726063","79.5458655380907","83.2682901473188","85.3771706718034","87.4860472140644","","","","","","","","","","",
"United Arab Emirates","ARE","Methane emissions (% change from 1990)","EN.ATM.METH.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.70468910774658","10.9606056151698","9.07467293840953","15.7320299867705","25.0117595178598","36.8969572247538","37.5672497427606","38.8806408937233","37.559165074232","49.4392179920623","46.8969572247538","52.4224606791121","61.4030574746435","65.7504042334264","67.3482287226224","75.8665294722916","80.340291048067","79.7545200646774","84.0879023960018","88.2066735263854","90.0887402616493","91.9708069969131","","","","","","","","","","",
"Argentina","ARG","Methane emissions (% change from 1990)","EN.ATM.METH.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.40571887581674","0.0617144872309794","-0.504491443237365","-0.993309365908135","0.109714643966186","-0.669063409186643","0.483919947493705","-1.77698539423802","-3.70453454541892","-2.81036019709452","-3.49509712684776","-6.06339939069188","-0.996248151014367","-0.570124310609998","-1.91706748430199","-2.01600658287864","-4.2116708952519","-4.1009766562503","-8.78677154864179","-15.0283592762752","-14.1786428690379","-13.3289264618007","","","","","","","","","","",
"Armenia","ARM","Methane emissions (% change from 1990)","EN.ATM.METH.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.99325189466034","-9.84496660552998","-16.9131743779631","-12.1998823407274","-15.9975083918746","-11.3565422016126","-9.56189223794858","-11.6807973146001","-9.35944907775894","-11.2240024916081","-12.3196179534208","-9.87853410388622","-6.11897428798837","-2.18050316641865","2.44073779285048","6.72907222202999","7.47586254628509","11.9462227912932","12.4839948783611","15.1925805446932","16.8704193161314","18.5478774252172","","","","","","","","","","",
